iter	Passed	Remaining
924	23395	1896
925	23422	1871
926	23448	1846
927	23475	1821
928	23497	1795
929	23524	1770
930	23547	1745
931	23572	1719
932	23595	1694
933	23617	1668
934	23643	1643
935	23670	1618
936	23693	1593
937	23715	1567
938	23740	1542
939	23762	1516
940	23785	1491
941	23807	1465
942	23832	1440
943	23854	1415
944	23877	1389
945	23900	1364
946	23922	1338
947	23944	1313
948	23966	1287
949	23990	1262
950	24012	1237
951	24034	1211
952	24061	1186
953	24086	1161
954	24109	1136
955	24130	1110
956	24152	1085
957	24178	1059
958	24200	1034
959	24224	1009
960	24248	984
961	24271	958
962	24295	933
963	24317	908
964	24337	882
965	24359	857
966	24383	832
967	24406	806
968	24427	781
969	24451	756
970	24473	730
971	24495	705
972	24516	680
973	24538	655
974	24560	629
975	24587	604
976	24609	579
977	24631	554
978	24655	528
979	24680	503
980	24704	478
981	24731	453
982	24754	428
983	24777	402
984	24799	377
985	24819	352
986	24843	327
987	24869	302
988	24893	276
989	24916	251
990	24938	226
991	24960	201
992	24981	176
993	25007	150
994	25029	125
995	25067	100
996	25092	75
997	25115	50
998	25139	25
999	25160	0
